,roc_auc_ovo_macro,precision_macro,recall_macro,f1_macro
G_depressionscore,0.0027907791956155586,0.0059432738534842275,0.007645275469680035,0.007755872605309755
G_anxietyscore,0.007787079730321577,0.008521217377201379,0.008003637248902185,0.009265716051720243
G_totalscore,0.016305038206715073,0.009953564324714574,0.017551598255729946,0.011964755158638114
